No Rehab",,,,,
,,Product,Borrower Level,Min. Experience 36 mos.,Prod and Br,Min. FICO:,Qualification Key,Loan Amount Tier,Min. Loan:,Max. Loan:,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,Direct Origination Fee:**,InDirect Origination Fee:**,Tier 1,,Tier 2,,Tier 3,,,,Borrower Experience Calculator,,,Borrower Experience Calculator,,,,,,,,,,,,,,,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,LTV,LTARV,LTC,,,
,,,,,,,,,,,Purchase LTV,Purchase LTARV,Purchase LTC,Purchase BF RehabLTV,Purchase BF RehabLTARV,Purchase BF RehabLTC,Refinance LF RehabLTV,Refinance LF RehabLTARV,Refinance LF RehabLTC,Bridge Purchase no RehabLTV,Bridge Purchase no RehabLTARV,Bridge Purchase no RehabLTC,REFILTV,REFILTARV,REFILTC,Bridge Cash out no RehabLTV,Bridge Cash out no RehabLTARV,Bridge Cash out no RehabLTC,Direct Origination,Indirect Origination,Tier 1,,Tier 2,,Tier 3,,,,Units Count in 36 mos,Experience Tier,,Min Experience,Min Experience Tier,,,,Helper - HF to Dig in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FNF,B,5,FNFB5,740,#N/A,4,"$3,500,000 ","$4,999,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,9.654%,9.654%,9.704%,9.704%,9.754%,9.754%,,,Min Spread to Sales,8.654%,,,,,,,GUP,A,7,680,GUPA7680,0,GUPA70,,,,80.0%,75.0%,82.5%,80.0%,75.0%,82.5%,80.0%,75.0%,82.5%,72.5%,75.0%,82.5%,72.5%,75.0%,82.5%,70.0%,67.5%,75.0%,,,
,,FNF,B,5,FNFB5,740,#N/A,3,"$2,000,000 ","$3,499,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,9.404%,9.404%,9.454%,9.454%,9.504%,9.504%,,,,,,,,,,,GUP,A,7,700,GUPA7700,700,GUPA7700,,,,82.5%,77.5%,87.5%,82.5%,77.5%,87.5%,80.0%,77.5%,85.0%,75.0%,75.0%,85.0%,75.0%,75.0%,85.0%,70.0%,70.0%,77.5%,,,
,,FNF,B,5,FNFB5,740,#N/A,2,"$1,000,000 ","$1,999,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,9.154%,9.154%,9.204%,9.204%,9.254%,9.254%,0.1250%,,,,,,,,,,GUP,A,7,720,GUPA7720,700,GUPA7700,,,,82.5%,77.5%,87.5%,82.5%,77.5%,87.5%,82.5%,77.5%,85.0%,77.5%,77.5%,85.0%,77.5%,77.5%,85.0%,72.5%,72.5%,77.5%,,,
,,FNF,B,5,FNFB5,740,#N/A,1,"$150,000 ","$999,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,9.154%,9.154%,9.204%,9.204%,9.254%,9.254%,,,,,,,,,,,GUP,B,5,680,GUPB5680,0,GUPB50,,,,82.5%,77.5%,87.5%,82.5%,77.5%,87.5%,82.5%,77.5%,85.0%,77.5%,77.5%,85.0%,77.5%,77.5%,85.0%,72.5%,72.5%,77.5%,,,
,,FNF,B,5,FNFB5,720,#N/A,4,"$3,500,000 ","$4,999,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,9.779%,9.779%,9.829%,9.829%,9.879%,9.879%,,,Tier Spread,0.050%,,,,,,,GUP,B,5,700,GUPB5700,700,GUPB5700,,,,80.0%,72.5%,82.5%,80.0%,72.5%,82.5%,80.0%,72.5%,82.5%,72.5%,72.5%,82.5%,72.5%,72.5%,82.5%,70.0%,67.5%,75.0%,,,
,,FNF,B,5,FNFB5,720,#N/A,3,"$2,000,000 ","$3,499,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,9.529%,9.529%,9.579%,9.579%,9.629%,9.629%,,,Size Adjustment,0.250%,,,,,,,GUP,B,5,720,GUPB5720,700,GUPB5700,,,,82.5%,75.0%,87.5%,82.5%,75.0%,87.5%,80.0%,75.0%,85.0%,75.0%,75.0%,85.0%,75.0%,75.0%,85.0%,70.0%,70.0%,77.5%,,,
,,FNF,B,5,FNFB5,720,#N/A,2,"$1,000,000 ","$1,999,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,9.279%,9.279%,9.329%,9.329%,9.379%,9.379%,,,Credit Adjustment,0.125%,,,,,,,,,,,,,,,,,82.5%,75.0%,87.5%,82.5%,75.0%,87.5%,82.5%,75.0%,85.0%,77.5%,77.5%,85.0%,77.5%,77.5%,85.0%,72.5%,70.0%,77.5%,,,
,,FNF,B,5,FNFB5,720,#N/A,1,"$150,000 ","$999,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,9.279%,9.279%,9.329%,9.329%,9.379%,9.379%,,,Loan Tier Adjustment,0.250%,,,,,,,,,,,,,,,,,82.5%,77.5%,87.5%,82.5%,77.5%,87.5%,82.5%,77.5%,85.0%,77.5%,77.5%,85.0%,77.5%,77.5%,85.0%,72.5%,72.5%,77.5%,,,
,,FNF,B,5,FNFB5,700,#N/A,4,"$3,500,000 ","$4,999,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,9.904%,9.904%,9.954%,9.954%,10.004%,10.004%,,,,,,,,,,,,,,,,,,,,,77.5%,70.0%,80.0%,77.5%,70.0%,80.0%,77.5%,70.0%,80.0%,70.0%,70.0%,80.0%,70.0%,70.0%,80.0%,67.5%,65.0%,72.5%,,,
,,FNF,B,5,FNFB5,700,#N/A,3,"$2,000,000 ","$3,499,999 ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0.750%,9.654%,9.654%,9.704%,9.704%,9.754%,9.754%,,,Fix-and-Flip ,FNF,,,,,,,,,,,,,,,,,80.0%,72.5%,85.0%,80.0%,72.5%,85.0%,77.5%,72.5%,82.5%,72.5%,72.5%,82.5%,72.5%,72.5%,82.5%,67.5%,67.5%,75.0%,,,
